id,active,type,product_tmpl_id/id,product_qty,product_uom_id/id,sequence,ready_to_produce,picking_type_id/id,company_id/id,consumption,produce_delay,days_to_prepare_mo,version,x_studio_bom_total_material_cost,x_studio_currency_id/id,x_studio_last_updated_date_cost
mrp_bom_id_701,1,normal,Jinasena_MasterData_Stock.product_template_bearing_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_702,1,normal,Jinasena_MasterData_Stock.product_template_machine_mounting_plates,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_703,1,normal,Jinasena_MasterData_Stock.product_template_top_curved_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_704,1,normal,Jinasena_MasterData_Stock.product_template_bottem_curved_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_705,1,normal,Jinasena_MasterData_Stock.product_template_side_plates,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_706,1,normal,Jinasena_MasterData_Stock.product_template_curved_plate_for_feeding,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_707,1,normal,Jinasena_MasterData_Stock.product_template_side_plates_for_feeding,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_708,1,normal,Jinasena_MasterData_Stock.product_template_louvres,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_709,1,normal,Jinasena_MasterData_Stock.product_template_separate_plate_330475,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_710,1,normal,Jinasena_MasterData_Stock.product_template_guard_plate_1,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_711,1,normal,Jinasena_MasterData_Stock.product_template_guard_plate_2,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
